S.No,Crop,Dist_id,District,Year,Season,Season_yield,Total
368,bengal gram,7,JOGULAMBA,2017-2018,rabi,1312,1312
369,bengal gram,30,WANAPARTHY,2017-2018,rabi,2132,2132
370,bengal gram,18,NAGARKURNOOL,2017-2018,rabi,1516,1516
371,bengal gram,19,NALGONDA,2017-2018,rabi,1516,1516
372,bengal gram,28,SURYAPET,2017-2018,rabi,1516,1516
373,bengal gram,10,KHAMMAM,2017-2018,rabi,1516,1516
374,groundnut,1,ADILABAD,2018-2019,kharif,2504,2489
375,groundnut,11,KOMARAM BHEEM,2018-2019,kharif,2504,2504
376,groundnut,13,MANCHERIAL,2018-2019,kharif,0,2489
377,groundnut,21,NIRMAL,2018-2019,kharif,0,2489
378,groundnut,22,NIZAMABAD,2018-2019,kharif,2504,2496
379,groundnut,4,JAGTIAL,2018-2019,kharif,0,1427
380,groundnut,23,PEDDAPALLI,2018-2019,kharif,0,2489
381,groundnut,6,JAYASHANKAR,2018-2019,kharif,2504,2141
382,groundnut,2,BHADRADRI,2018-2019,kharif,2504,2370
383,groundnut,16,MAHABUBABAD,2018-2019,kharif,2504,1622
384,groundnut,31,WARANGAL RURAL,2018-2019,kharif,3420,3167
385,groundnut,32,WARANGAL URBAN,2018-2019,kharif,2504,2489
386,groundnut,9,KARIMNAGAR,2018-2019,kharif,2504,2700
387,groundnut,24,RAJANNA,2018-2019,kharif,0,2489
388,groundnut,8,KAMAREDDY,2018-2019,kharif,0,2489
389,groundnut,26,SANGAREDDY,2018-2019,kharif,2504,2491
390,groundnut,14,MEDAK,2018-2019,kharif,2504,2491
391,groundnut,27,SIDDIPET,2018-2019,kharif,2504,2268
392,groundnut,5,JANGAON,2018-2019,kharif,2504,1583
393,groundnut,33,YADADRI,2018-2019,kharif,2504,2500
394,groundnut,15,MEDCHAL MALKAJG,2018-2019,kharif,0,0
395,groundnut,3,HYDERABAD,2018-2019,kharif,0,0
396,groundnut,25,RANGAREDDY,2018-2019,kharif,0,2711
397,groundnut,29,VIKARABAD,2018-2019,kharif,2504,2458
398,groundnut,12,MAHABUBNAGAR,2018-2019,kharif,2504,2235
399,groundnut,7,JOGULAMBA,2018-2019,kharif,2220,2480
400,groundnut,30,WANAPARTHY,2018-2019,kharif,1971,3073
401,groundnut,18,NAGARKURNOOL,2018-2019,kharif,1501,2455
402,groundnut,19,NALGONDA,2018-2019,kharif,2504,1748
403,groundnut,28,SURYAPET,2018-2019,kharif,1776,1791
404,groundnut,10,KHAMMAM,2018-2019,kharif,2504,2245
405,groundnut,1,ADILABAD,2018-2019,rabi,2489,2489
406,groundnut,11,KOMARAM BHEEM,2018-2019,rabi,0,2504
407,groundnut,13,MANCHERIAL,2018-2019,rabi,2489,2489
408,groundnut,21,NIRMAL,2018-2019,rabi,2489,2489
409,groundnut,22,NIZAMABAD,2018-2019,rabi,2489,2496
410,groundnut,4,JAGTIAL,2018-2019,rabi,1427,1427
411,groundnut,23,PEDDAPALLI,2018-2019,rabi,2489,2489
412,groundnut,6,JAYASHANKAR,2018-2019,rabi,2122,2141
413,groundnut,2,BHADRADRI,2018-2019,rabi,2333,2370
414,groundnut,16,MAHABUBABAD,2018-2019,rabi,1602,1622
